#tilesize groupsize numRegs dpx kernelApproach
16 4 4 0 999999
32 4 8 0 999999
48 4 12 0 999999
64 4 16 0 999999
80 4 20 0 999999
96 4 24 0 999999
112 4 28 0 999999
128 8 16 0 999999
144 4 36 0 999999
160 4 40 0 999999
176 4 44 0 999999
192 8 24 0 999999
224 8 28 0 999999
256 8 32 0 999999
288 8 36 0 999999
320 8 40 0 999999
352 8 44 0 999999
384 16 24 0 999999
448 16 28 0 999999
512 16 32 0 999999
576 16 36 0 999999
640 32 20 0 999999
704 16 44 0 999999
768 32 24 0 999999
896 32 28 0 999999
1024 32 32 0 999999

